code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
NOGZ,ኖጎብ ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
ERZ,Erer Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
ERZ,ኤረር ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
SBHZ,Shabelle Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
SBHZ,ሸበሌ ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
FFZ,Fafan Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
FFZ,ፋፋን ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
KOZ,Korahe Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
KOZ,ቆራሄ ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
SIT,Sitti Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
SIT,ሲቲ ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
DOL,Dollo Zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
DOL,ዶሎ ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
DHZ,Dhawa zone,2,Zone,SOM,eng,t,110011,2021-02-10 07:55:07.585804
DHZ,ዳዋ ዞን,2,ዞን,SOM,amh,t,110011,2021-02-10 07:55:07.585804
SIL,Silti Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
SIL,ስልጢ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
GGZ,Gamo Gofa Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
GGZ,ስልጢ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
BMZ,Bench Maji Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
BMZ,ቤንች ማጂ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
SOZ,South Omo Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
SOZ,ደቡብ ኦሞ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
SGZ,South Gondar Zone,2,Zone,AMH,eng,t,110011,2021-02-10 07:55:07.585804
BSZ,Bench Sheko Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
BSZ,ቤንች ሸኮ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
WOL,Wolayita Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
WOL,ወላይታ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
DAW,Dawro Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
DAW,ዳውሮ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
GAM,Gamo Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
